dataset	dpt	mlt	trait	location	Export	Import	SSS
locrisk260.1	TempEst	FastTree	country	KE	2	4	-0.3333333333333333
locrisk260.1	TempEst	FastTree	country	MM	0	1	-1
locrisk260.1	TempEst	FastTree	country	MW	1	11	-0.8333333333333334
locrisk260.1	TempEst	FastTree	country	NG	0	2	-1
locrisk260.1	TempEst	FastTree	country	NP	1	1	0
locrisk260.1	TempEst	FastTree	country	PK	0	1	-1
locrisk260.1	TempEst	FastTree	country	SE	11	7	0.2222222222222222
locrisk260.1	TempEst	FastTree	country	SN	0	1	-1
locrisk260.1	TempEst	FastTree	country	SO	0	1	-1
locrisk260.1	TempEst	FastTree	country	TH	0	1	-1
locrisk260.1	TempEst	FastTree	country	TZ	6	12	-0.3333333333333333
locrisk260.1	TempEst	FastTree	country	US	0	2	-1
locrisk260.1	TempEst	FastTree	country	UY	0	1	-1
locrisk260.1	TempEst	FastTree	country	YE	0	1	-1
locrisk260.1	TempEst	FastTree	country	ZA	12	15	-0.1111111111111111
locrisk260.1	TempEst	FastTree	country	ZM	49	1	0.96
locrisk260.1	TempEst	FastTree	region	Eastern Africa	45	5	0.8
locrisk260.1	TempEst	FastTree	region	Eastern Asia	1	2	-0.3333333333333333
locrisk260.1	TempEst	FastTree	region	Eastern Europe	0	1	-1
locrisk260.1	TempEst	FastTree	region	Northern America	0	2	-1
locrisk260.1	TempEst	FastTree	region	Northern Europe	10	10	0
locrisk260.1	TempEst	FastTree	region	South	0	2	-1
locrisk260.1	TempEst	FastTree	region	South America	1	1	0
locrisk260.1	TempEst	FastTree	region	Southern Africa	6	24	-0.6
locrisk260.1	TempEst	FastTree	region	Southern Asia	3	3	0
locrisk260.1	TempEst	FastTree	region	Southern Europe	1	5	-0.6666666666666666
locrisk260.1	TempEst	FastTree	region	Western Africa	0	3	-1
locrisk260.1	TempEst	FastTree	region	Western Asia	0	6	-1
locrisk260.1	TempEst	FastTree	region	Western Europe	0	3	-1
locrisk260.1	TempEst	FastTree	risk4	OT	71	5	0.868421052631579
locrisk260.1	TempEst	FastTree	risk4	PI	7	2	0.5555555555555556
locrisk260.1	TempEst	FastTree	risk4	SH	4	72	-0.8947368421052632
locrisk260.1	TempEst	FastTree	risk4	SM	1	4	-0.6
locrisk260.1	TempEst	FastTree	risk5	MB	0	4	-1
locrisk260.1	TempEst	FastTree	risk5	OT	67	14	0.654320987654321
locrisk260.1	TempEst	FastTree	risk5	PI	3	2	0.2
locrisk260.1	TempEst	FastTree	risk5	SH	16	63	-0.5949367088607594
locrisk260.1	TempEst	FastTree	risk5	SM	1	4	-0.6
locrisk260.1	TempEst	FastTree	risk6	MB	0	4	-1
locrisk260.1	TempEst	FastTree	risk6	NR	60	40	0.2
locrisk260.1	TempEst	FastTree	risk6	OT	47	8	0.7090909090909091
locrisk260.1	TempEst	FastTree	risk6	PI	10	2	0.6666666666666666
locrisk260.1	TempEst	FastTree	risk6	SH	9	69	-0.7692307692307693
locrisk260.1	TempEst	FastTree	risk6	SM	1	4	-0.6
locrisk260.1	TempEst	IQ-TREE	continent	Africa	24	4	0.7142857142857143
locrisk260.1	TempEst	IQ-TREE	continent	Americas	1	3	-0.5
locrisk260.1	TempEst	IQ-TREE	continent	Asia	1	10	-0.8181818181818182
locrisk260.1	TempEst	IQ-TREE	continent	Europe	10	19	-0.3103448275862069
locrisk260.1	TempEst	IQ-TREE	country	AR	0	1	-1
locrisk260.1	TempEst	IQ-TREE	country	BE	0	2	-1
locrisk260.1	TempEst	IQ-TREE	country	BG	0	1	-1
locrisk260.1	TempEst	IQ-TREE	country	BR	4	1	0.6
locrisk260.1	TempEst	IQ-TREE	country	BW	0	5	-1
locrisk260.1	TempEst	IQ-TREE	country	CN	1	1	0
locrisk260.1	TempEst	IQ-TREE	country	DE	0	1	-1
locrisk260.1	TempEst	IQ-TREE	country	DK	0	1	-1
locrisk260.1	TempEst	IQ-TREE	country	ES	0	5	-1
locrisk260.1	TempEst	IQ-TREE	country	ET	1	3	-0.5
locrisk260.1	TempEst	IQ-TREE	country	GE	0	1	-1
locrisk260.1	TempEst	IQ-TREE	country	IL	0	4	-1
locrisk260.1	TempEst	IQ-TREE	country	IN	3	3	0
locrisk260.1	TempEst	IQ-TREE	country	KE	2	4	-0.3333333333333333
locrisk260.1	TempEst	IQ-TREE	country	MM	0	1	-1
locrisk260.1	TempEst	IQ-TREE	country	MW	2	10	-0.6666666666666666
locrisk260.1	TempEst	IQ-TREE	country	NG	1	2	-0.3333333333333333
locrisk260.1	TempEst	IQ-TREE	country	NP	1	1	0
locrisk260.1	TempEst	IQ-TREE	country	PK	0	1	-1
locrisk260.1	TempEst	IQ-TREE	country	SE	11	7	0.2222222222222222
locrisk260.1	TempEst	IQ-TREE	country	SN	0	1	-1
locrisk260.1	TempEst	IQ-TREE	country	SO	0	1	-1
locrisk260.1	TempEst	IQ-TREE	country	TH	0	1	-1
locrisk260.1	TempEst	IQ-TREE	country	TZ	0	14	-1
locrisk260.1	TempEst	IQ-TREE	country	US	0	2	-1
locrisk260.1	TempEst	IQ-TREE	country	UY	0	1	-1
locrisk260.1	TempEst	IQ-TREE	country	YE	0	1	-1
locrisk260.1	TempEst	IQ-TREE	country	ZA	18	15	0.09090909090909091
locrisk260.1	TempEst	IQ-TREE	country	ZM	50	3	0.8867924528301887
locrisk260.1	TempEst	IQ-TREE	region	Eastern Africa	50	4	0.8518518518518519
locrisk260.1	TempEst	IQ-TREE	region	Eastern Asia	1	1	0
locrisk260.1	TempEst	IQ-TREE	region	Eastern Europe	0	1	-1
locrisk260.1	TempEst	IQ-TREE	region	Northern America	0	2	-1
locrisk260.1	TempEst	IQ-TREE	region	Northern Europe	10	10	0
locrisk260.1	TempEst	IQ-TREE	region	South	0	2	-1
locrisk260.1	TempEst	IQ-TREE	region	South America	1	1	0
